path_index,interaction_chain,a_real,a_imag,a_abs,phase_deg,path_gain_db,delay_us,path_length_m,excess_delay_us,aod_theta_deg,aod_phi_deg,aoa_theta_deg,aoa_phi_deg,doppler_hz
0,NHIEU_XA,-1.824602804845199e-06,4.473515673453221e-06,4.831306021779266e-06,112.18896357103566,-106.31870905626903,0.4747871571453288,142.3376088674304,0.1412230687947158,89.99998201391065,-96.88895862210971,89.999995674289,-162.39347121557762,0.0
1,PHAN_XA_KHUECH_TAN -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,-5.45742899760171e-08,-9.452271854115679e-08,1.0914622048791769e-07,-120.00071510241555,-139.23982596861782,0.34463579368093633,103.31921170238877,0.011071705330323312,121.43131046101541,-83.12224789708544,91.086275790077,-178.2348928821283,0.0
2,PHAN_XA_GUONG -> KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA,2.209367448813282e-05,-7.735962572041899e-05,8.045273235876381e-05,-74.06081883842904,-81.8891840336153,0.3339642375976837,100.1199596735056,0.000400149247070658,92.28983025391412,-0.4649830036343364,92.28977561240075,-174.3542799240505,0.0
3,PHAN_XA_GUONG -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,5.5295553465839475e-05,0.00012589986727107316,0.00013750772637189282,66.28879226023248,-77.23345797465177,0.33383082609361736,100.07996391077609,0.0002667377430043416,92.2907454992629,-8.743145945620085e-06,92.29062255585784,-180.00000500895632,0.0
4,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,-1.3708867641071265e-07,1.6118684698085417e-07,2.1159986965891634e-07,130.3810120416245,-133.48969208306133,0.6345459269141429,190.23208314347926,0.3009818385635299,92.53990396999579,-180.00000500895632,90.78977044801758,-179.99995036744298,0.0
5,PHAN_XA_GUONG -> PHAN_XA_KHUECH_TAN,-2.275620090586017e-06,-7.340130423472147e-07,2.391071296096067e-06,-162.12262507144666,-112.42814948111848,0.4802848252438707,143.98576829996045,0.1467207368932577,100.31495418903143,-136.53815894270954,89.77177173336219,-171.8411118189443,0.0
6,PHAN_XA_GUONG -> KHUC_XA_TRUYEN_XUYEN -> NHIEU_XA,-1.3668965266333544e-06,-2.1706964616896585e-06,2.565215243076949e-06,-122.19879058323967,-111.8175237614632,0.42433492808413575,127.21241110559629,0.09077083973352273,91.80195667168927,17.563373828013397,91.80188836979757,104.54069660586993,0.0
7,NHIEU_XA,2.1165602447581477e-05,-1.5559020539512858e-05,2.6269104421697555e-05,-36.31993339677486,-91.61109466254645,0.34687539596234274,103.990627575274,0.013311307611729717,93.68570918440045,-25.39998112694377,91.45184117483441,-170.2832412919128,0.0
8,NHIEU_XA -> KHUC_XA_TRUYEN_XUYEN -> KHUC_XA_TRUYEN_XUYEN,-1.2828955959776067e-06,3.2401022309613836e-08,1.2833046935258387e-06,178.55323592828626,-117.8334043470671,0.33596953130654583,100.72113160349733,0.0024054429559328128,97.65331826193666,-15.245542302980402,91.25157319818047,-177.54971562534928,0.0
9,NHIEU_XA -> PHAN_XA_GUONG,1.2467003216443118e-06,-2.346071596548427e-06,2.6567486949501483e-06,-62.01386380264962,-111.51299048167118,0.4749745698973129,142.39379379700824,0.14141048154669988,91.60970050693176,-96.88895862210971,91.60953658239167,-162.39330729103756,0.0
