Thoi_gian_rBS_nhan_UTC,Thiet_bi,So_thu_tu_bao_cao,GPS_hop_le,GPS_tin_cay_2D,Vi_do_tho,Kinh_do_tho,Do_cao_tho_m,Toc_do_m_s,So_ve_tinh,HDOP,Tuoi_fix_ms,Cong_suat_phat_dBm,SF,RSSI_dBm,SNR_dB,He_so_kenh_dB,Suy_hao_kenh_dB,PDR_beacon_phan_tram,So_goi_mat_uoc_tinh,Vi_do_rBS,Kinh_do_rBS,Khoang_cach_rBS_node_m
2026-09-10T08:13:12.591442+00:00,DU,61,1,0,20.981235,105.7978967,20.8,0.98,3,3.7,90,20.0,7,-39.0,8.8,-59.0,59.0,100.0,0,20.9807467,105.796265,
2026-09-10T08:13:12.628377+00:00,SU,164,1,1,20.98078,105.79618,-19.2,0.04,6,1.1,360,20.0,7,-23.0,9.3,-43.0,43.0,100.0,0,20.9807467,105.796265,
2026-09-10T08:13:22.628174+00:00,SU,166,1,1,20.9808033,105.7962233,-21.0,0.32,6,1.1,360,20.0,7,-23.0,9.0,-43.0,43.0,66.667,1,20.9807467,105.796265,
2026-09-10T08:13:27.629332+00:00,SU,167,1,1,20.98083,105.796275,-21.8,0.15,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,75.0,1,20.9807467,105.796265,7.64
2026-09-10T08:13:27.668112+00:00,DU,64,1,0,20.9811467,105.797425,20.8,1.03,3,3.7,170,20.0,7,-40.0,9.5,-60.0,60.0,50.0,2,20.9807467,105.796265,
2026-09-10T08:13:32.628107+00:00,SU,168,1,1,20.9808517,105.7963217,-21.9,0.15,6,1.1,360,20.0,7,-22.0,9.5,-42.0,42.0,80.0,1,20.9807467,105.796265,9.32
2026-09-10T08:13:32.694033+00:00,DU,65,1,0,20.981185,105.7974183,20.8,0.42,3,3.8,190,20.0,7,-40.0,9.3,-60.0,60.0,60.0,2,20.9807467,105.796265,
2026-09-10T08:13:37.628359+00:00,SU,169,1,1,20.9808717,105.796365,-21.9,0.2,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,83.333,1,20.9807467,105.796265,13.08
2026-09-10T08:13:37.719538+00:00,DU,66,1,0,20.9811917,105.7974417,20.8,3.18,3,3.8,220,20.0,7,-39.0,9.3,-59.0,59.0,66.667,2,20.9807467,105.796265,
2026-09-10T08:13:42.628006+00:00,SU,170,1,1,20.9808783,105.7963817,-22.5,0.02,6,1.1,360,20.0,7,-23.0,10.0,-43.0,43.0,85.714,1,20.9807467,105.796265,17.35
2026-09-10T08:13:42.744468+00:00,DU,67,1,0,20.9811467,105.797155,20.8,1.5,3,3.8,240,20.0,7,-39.0,9.0,-59.0,59.0,71.429,2,20.9807467,105.796265,
2026-09-10T08:13:47.628104+00:00,SU,171,1,1,20.980875,105.7963783,-23.2,0.08,6,1.1,360,20.0,7,-23.0,10.0,-43.0,43.0,87.5,1,20.9807467,105.796265,18.49
2026-09-10T08:13:47.770093+00:00,DU,68,1,0,20.981225,105.79749,20.8,0.12,3,3.8,270,20.0,7,-39.0,9.5,-59.0,59.0,75.0,2,20.9807467,105.796265,
2026-09-10T08:13:52.627644+00:00,SU,172,1,1,20.9808833,105.7963967,-23.5,0.03,5,1.4,360,20.0,7,-22.0,9.8,-42.0,42.0,88.889,1,20.9807467,105.796265,19.0
2026-09-10T08:13:52.795229+00:00,DU,69,1,0,20.9811783,105.7972683,20.8,0.2,3,3.8,290,20.0,7,-39.0,10.3,-59.0,59.0,77.778,2,20.9807467,105.796265,
2026-09-10T08:13:57.628238+00:00,SU,173,1,1,20.9808933,105.7964183,-23.5,0.02,5,1.4,360,20.0,7,-23.0,10.3,-43.0,43.0,90.0,1,20.9807467,105.796265,20.44
2026-09-10T08:13:57.821640+00:00,DU,70,1,0,20.9811633,105.79721,20.8,0.13,3,3.8,320,20.0,7,-39.0,9.0,-59.0,59.0,80.0,2,20.9807467,105.796265,
2026-09-10T08:14:02.628219+00:00,SU,174,1,1,20.9809033,105.7964433,-23.5,0.06,5,1.4,360,20.0,7,-22.0,10.0,-42.0,42.0,90.909,1,20.9807467,105.796265,22.78
2026-09-10T08:14:02.845008+00:00,DU,71,1,0,20.9811667,105.79723,20.8,0.62,3,3.8,340,20.0,7,-39.0,9.8,-59.0,59.0,81.818,2,20.9807467,105.796265,
2026-09-10T08:14:07.627637+00:00,SU,175,1,1,20.9809083,105.7964583,-23.8,0.05,6,1.1,360,20.0,7,-23.0,9.3,-43.0,43.0,91.667,1,20.9807467,105.796265,25.41
2026-09-10T08:14:07.871508+00:00,DU,72,1,0,20.9812133,105.7974467,20.8,1.53,3,3.8,20,20.0,7,-39.0,9.3,-59.0,59.0,83.333,2,20.9807467,105.796265,
2026-09-10T08:14:12.627593+00:00,SU,176,1,1,20.9809067,105.796455,-23.8,0.0,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,92.308,1,20.9807467,105.796265,26.56
2026-09-10T08:14:12.895573+00:00,DU,73,1,0,20.9811567,105.7971867,20.8,0.36,3,3.8,40,20.0,7,-39.0,9.0,-59.0,59.0,84.615,2,20.9807467,105.796265,
2026-09-10T08:14:17.628638+00:00,SU,177,1,1,20.9809083,105.7964567,-24.6,0.11,5,1.4,360,20.0,7,-23.0,9.8,-43.0,43.0,92.857,1,20.9807467,105.796265,26.81
2026-09-10T08:14:17.920132+00:00,DU,74,1,0,20.9811,105.7969083,20.8,0.28,3,3.8,70,20.0,7,-40.0,9.8,-60.0,60.0,85.714,2,20.9807467,105.796265,
2026-09-10T08:14:22.627988+00:00,SU,178,1,1,20.9809117,105.7964583,-26.0,0.06,5,1.4,360,20.0,7,-22.0,9.8,-42.0,42.0,93.333,1,20.9807467,105.796265,26.81
2026-09-10T08:14:22.944899+00:00,DU,75,1,0,20.9811083,105.796925,20.8,2.25,3,3.8,90,20.0,7,-39.0,9.8,-59.0,59.0,86.667,2,20.9807467,105.796265,
2026-09-10T08:14:27.627569+00:00,SU,179,1,1,20.9809117,105.796455,-27.0,0.0,6,1.1,360,20.0,7,-22.0,10.0,-42.0,42.0,93.75,1,20.9807467,105.796265,27.07
2026-09-10T08:14:27.971152+00:00,DU,76,1,0,20.9810867,105.7968067,20.8,2.21,3,3.8,120,20.0,7,-39.0,9.8,-59.0,59.0,87.5,2,20.9807467,105.796265,
2026-09-10T08:14:32.627372+00:00,SU,180,1,1,20.9809117,105.7964533,-27.3,0.0,6,1.1,360,20.0,7,-22.0,10.0,-42.0,42.0,94.118,1,20.9807467,105.796265,26.94
2026-09-10T08:14:32.995602+00:00,DU,77,1,0,20.981115,105.7969267,20.8,1.81,0,3.8,2360,20.0,7,-40.0,9.0,-60.0,60.0,88.235,2,20.9807467,105.796265,
2026-09-10T08:14:37.627579+00:00,SU,181,1,1,20.9809117,105.796455,-27.9,0.05,6,1.1,360,20.0,7,-22.0,9.5,-42.0,42.0,94.444,1,20.9807467,105.796265,26.94
2026-09-10T08:14:38.020154+00:00,DU,78,0,0,0.0,0.0,20.8,1.81,0,3.8,7391,20.0,7,-39.0,9.8,-59.0,59.0,88.889,2,20.9807467,105.796265,
2026-09-10T08:14:42.628303+00:00,SU,182,1,1,20.980915,105.7964633,-29.8,0.19,6,1.1,360,20.0,7,-23.0,10.3,-43.0,43.0,94.737,1,20.9807467,105.796265,26.94
2026-09-10T08:14:43.044791+00:00,DU,79,0,0,0.0,0.0,20.8,1.81,0,3.8,12410,20.0,7,-39.0,9.3,-59.0,59.0,89.474,2,20.9807467,105.796265,
2026-09-10T08:14:47.627671+00:00,SU,183,1,1,20.9809083,105.7964533,-33.1,0.04,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,95.0,1,20.9807467,105.796265,26.94
2026-09-10T08:14:48.070025+00:00,DU,80,1,0,20.98103,105.7971183,20.8,0.58,3,3.8,220,20.0,7,-38.0,9.8,-58.0,58.0,90.0,2,20.9807467,105.796265,
2026-09-10T08:14:52.627381+00:00,SU,184,1,1,20.9809083,105.79646,-36.0,0.04,5,1.4,360,20.0,7,-23.0,9.3,-43.0,43.0,95.238,1,20.9807467,105.796265,27.07
2026-09-10T08:14:53.095466+00:00,DU,81,1,0,20.9812217,105.7979383,20.8,0.64,3,3.8,240,20.0,7,-38.0,9.3,-58.0,58.0,90.476,2,20.9807467,105.796265,
2026-09-10T08:14:57.626961+00:00,SU,185,1,1,20.9809,105.79645,-38.5,0.05,6,1.1,360,20.0,7,-23.0,9.5,-43.0,43.0,95.455,1,20.9807467,105.796265,26.55
2026-09-10T08:14:58.120257+00:00,DU,82,1,0,20.981165,105.797655,20.8,1.01,3,3.8,270,20.0,7,-40.0,9.5,-60.0,60.0,90.909,2,20.9807467,105.796265,
2026-09-10T08:15:02.627288+00:00,SU,186,1,1,20.9809,105.7964583,-39.7,0.06,5,1.4,360,20.0,7,-23.0,9.8,-43.0,43.0,95.652,1,20.9807467,105.796265,26.33
2026-09-10T08:15:03.144949+00:00,DU,83,1,0,20.981245,105.7971317,20.8,1.02,3,3.8,290,20.0,7,-39.0,9.8,-59.0,59.0,91.304,2,20.9807467,105.796265,
2026-09-10T08:15:07.627570+00:00,SU,187,1,1,20.980905,105.796475,-40.0,0.04,5,1.4,360,20.0,7,-23.0,9.3,-43.0,43.0,95.833,1,20.9807467,105.796265,26.33
2026-09-10T08:15:08.169421+00:00,DU,84,1,0,20.9813667,105.79721,20.8,0.55,3,3.8,320,20.0,7,-39.0,10.0,-59.0,59.0,91.667,2,20.9807467,105.796265,
2026-09-10T08:15:12.627224+00:00,SU,188,1,1,20.9808983,105.7964683,-41.9,0.06,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,96.0,1,20.9807467,105.796265,27.13
2026-09-10T08:15:13.194571+00:00,DU,85,1,0,20.9812483,105.7972817,20.8,0.41,3,3.8,340,20.0,7,-40.0,9.8,-60.0,60.0,92.0,2,20.9807467,105.796265,
2026-09-10T08:15:17.627233+00:00,SU,189,1,1,20.980895,105.796465,-44.0,0.02,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,96.154,1,20.9807467,105.796265,27.01
2026-09-10T08:15:18.219995+00:00,DU,86,1,0,20.9812517,105.7972967,20.8,0.35,3,3.8,370,20.0,7,-39.0,9.5,-59.0,59.0,92.308,2,20.9807467,105.796265,
2026-09-10T08:15:22.627220+00:00,SU,190,1,1,20.9808967,105.796475,-44.7,0.09,5,1.4,360,20.0,7,-23.0,9.3,-43.0,43.0,96.296,1,20.9807467,105.796265,26.9
2026-09-10T08:15:23.244931+00:00,DU,87,1,0,20.9812217,105.7972817,20.8,1.07,3,3.8,390,20.0,7,-38.0,9.8,-58.0,58.0,92.593,2,20.9807467,105.796265,
2026-09-10T08:15:27.627859+00:00,SU,191,1,1,20.980895,105.7964767,-45.8,0.1,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,96.429,1,20.9807467,105.796265,27.34
2026-09-10T08:15:28.269562+00:00,DU,88,1,0,20.9811667,105.7969967,84.3,0.47,4,2.5,420,20.0,7,-39.0,9.5,-59.0,59.0,92.857,2,20.9807467,105.796265,
2026-09-10T08:15:32.628772+00:00,SU,192,1,1,20.9808967,105.7964817,-46.4,0.0,5,1.4,360,20.0,7,-23.0,9.0,-43.0,43.0,96.552,1,20.9807467,105.796265,27.59
2026-09-10T08:15:33.294473+00:00,DU,89,1,0,20.9811533,105.7969,94.5,0.19,4,2.5,450,20.0,7,-39.0,10.0,-59.0,59.0,93.103,2,20.9807467,105.796265,
2026-09-10T08:15:37.627945+00:00,SU,193,1,1,20.980905,105.7965,-49.7,0.21,5,1.4,360,20.0,7,-23.0,9.8,-43.0,43.0,96.667,1,20.9807467,105.796265,28.01
2026-09-10T08:15:38.320126+00:00,DU,90,1,0,20.9811233,105.7968967,97.1,0.12,4,2.5,480,20.0,7,-40.0,9.3,-60.0,60.0,93.333,2,20.9807467,105.796265,
2026-09-10T08:15:42.626890+00:00,SU,194,1,1,20.9809083,105.7965133,-52.8,0.05,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,96.774,1,20.9807467,105.796265,30.09
2026-09-10T08:15:43.344554+00:00,DU,91,1,0,20.98111,105.7968433,101.2,0.33,4,2.5,500,20.0,7,-39.0,9.8,-59.0,59.0,93.548,2,20.9807467,105.796265,
2026-09-10T08:15:47.626602+00:00,SU,195,1,1,20.9808983,105.7965033,-56.2,0.1,5,1.1,360,20.0,7,-23.0,9.5,-43.0,43.0,96.875,1,20.9807467,105.796265,30.36
2026-09-10T08:15:48.369319+00:00,DU,92,1,0,20.9811167,105.7968367,99.7,0.37,4,2.5,520,20.0,7,-39.0,9.8,-59.0,59.0,93.75,2,20.9807467,105.796265,
2026-09-10T08:15:52.627552+00:00,SU,196,1,1,20.9809067,105.7965233,-56.8,0.02,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,96.97,1,20.9807467,105.796265,31.32
2026-09-10T08:15:53.395411+00:00,DU,93,1,0,20.9811317,105.79686,98.2,0.22,4,2.5,550,20.0,7,-39.0,9.8,-59.0,59.0,93.939,2,20.9807467,105.796265,
2026-09-10T08:15:57.626887+00:00,SU,197,1,1,20.980925,105.79655,-56.8,0.11,5,1.4,360,20.0,7,-23.0,9.5,-43.0,43.0,97.059,1,20.9807467,105.796265,32.18
2026-09-10T08:15:58.420893+00:00,DU,94,1,0,20.9811367,105.796855,97.9,0.08,4,2.5,570,20.0,7,-39.0,9.8,-59.0,59.0,94.118,2,20.9807467,105.796265,
2026-09-10T08:16:02.626564+00:00,SU,198,1,1,20.9809267,105.796545,-59.0,0.09,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,97.143,1,20.9807467,105.796265,35.19
2026-09-10T08:16:03.446854+00:00,DU,95,1,0,20.9811267,105.796835,100.2,0.23,4,2.5,600,20.0,7,-39.0,10.0,-59.0,59.0,94.286,2,20.9807467,105.796265,
2026-09-10T08:16:07.626680+00:00,SU,199,1,1,20.98092,105.7965217,-62.6,0.08,6,1.1,360,20.0,7,-23.0,9.3,-43.0,43.0,97.222,1,20.9807467,105.796265,35.19
2026-09-10T08:16:08.471321+00:00,DU,96,1,0,20.9811317,105.7968317,100.3,0.22,4,2.5,620,20.0,7,-39.0,9.5,-59.0,59.0,94.444,2,20.9807467,105.796265,
2026-09-10T08:16:12.627456+00:00,SU,200,1,1,20.980915,105.7965133,-63.8,0.13,6,1.1,360,20.0,7,-23.0,9.5,-43.0,43.0,97.297,1,20.9807467,105.796265,32.89
2026-09-10T08:16:13.497411+00:00,DU,97,1,0,20.9811633,105.7968217,96.3,0.32,4,2.5,20,20.0,7,-40.0,9.3,-60.0,60.0,94.595,2,20.9807467,105.796265,
2026-09-10T08:16:17.627176+00:00,SU,201,1,1,20.980905,105.7965,-65.7,0.11,6,1.1,360,20.0,7,-23.0,9.3,-43.0,43.0,97.368,1,20.9807467,105.796265,31.86
2026-09-10T08:16:18.521688+00:00,DU,98,1,0,20.9811833,105.796815,91.3,0.34,4,2.5,30,20.0,7,-39.0,10.3,-59.0,59.0,94.737,2,20.9807467,105.796265,
2026-09-10T08:16:22.626539+00:00,SU,202,1,1,20.9809,105.7964933,-66.0,0.0,6,1.1,360,20.0,7,-23.0,9.5,-43.0,43.0,97.436,1,20.9807467,105.796265,30.09
2026-09-10T08:16:23.547523+00:00,DU,99,1,0,20.9812017,105.7968367,83.1,0.34,4,2.5,60,20.0,7,-39.0,9.8,-59.0,59.0,94.872,2,20.9807467,105.796265,
2026-09-10T08:16:27.626212+00:00,SU,203,1,1,20.9808983,105.7964967,-65.7,0.11,5,1.4,360,20.0,7,-23.0,9.8,-43.0,43.0,97.5,1,20.9807467,105.796265,29.48
2026-09-10T08:16:28.573184+00:00,DU,100,1,0,20.9812233,105.7968683,76.1,0.05,4,2.5,80,20.0,7,-39.0,10.3,-59.0,59.0,95.0,2,20.9807467,105.796265,
2026-09-10T08:16:32.626373+00:00,SU,204,1,1,20.9808983,105.796505,-64.4,0.06,6,1.1,360,20.0,7,-23.0,9.5,-43.0,43.0,97.561,1,20.9807467,105.796265,29.37
2026-09-10T08:16:33.599333+00:00,DU,101,1,0,20.9812317,105.796955,64.2,0.34,4,2.5,120,20.0,7,-39.0,9.8,-59.0,59.0,95.122,2,20.9807467,105.796265,
2026-09-10T08:16:37.626652+00:00,SU,205,1,1,20.9808967,105.7965067,-63.9,0.0,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,97.619,1,20.9807467,105.796265,30.08
2026-09-10T08:16:38.624089+00:00,DU,102,1,0,20.9812267,105.797,56.8,0.12,4,2.5,0,20.0,7,-40.0,9.8,-60.0,60.0,95.238,2,20.9807467,105.796265,
2026-09-10T08:16:42.626689+00:00,SU,206,1,1,20.9808967,105.7965033,-64.0,0.0,6,1.1,360,20.0,7,-23.0,9.3,-43.0,43.0,97.674,1,20.9807467,105.796265,29.98
2026-09-10T08:16:43.648376+00:00,DU,103,1,0,20.9812017,105.796995,53.8,0.1,4,2.6,30,20.0,7,-39.0,9.5,-59.0,59.0,95.349,2,20.9807467,105.796265,
2026-09-10T08:16:47.626592+00:00,SU,207,1,1,20.980895,105.7965,-64.1,0.0,6,1.1,360,20.0,7,-23.0,9.5,-43.0,43.0,97.727,1,20.9807467,105.796265,29.84
2026-09-10T08:16:48.674647+00:00,DU,104,1,0,20.9811933,105.7969617,53.2,0.52,4,2.6,50,20.0,7,-40.0,9.8,-60.0,60.0,95.455,2,20.9807467,105.796265,
2026-09-10T08:16:52.625849+00:00,SU,208,1,1,20.9808933,105.7964983,-64.2,0.0,6,1.1,360,20.0,7,-23.0,10.0,-43.0,43.0,97.778,1,20.9807467,105.796265,29.45
2026-09-10T08:16:53.699342+00:00,DU,105,1,0,20.9811733,105.7969417,53.6,0.73,4,2.6,80,20.0,7,-39.0,10.0,-59.0,59.0,95.556,2,20.9807467,105.796265,
2026-09-10T08:16:57.626796+00:00,SU,209,1,1,20.9808933,105.7964967,-64.2,0.0,6,1.1,360,20.0,7,-23.0,9.0,-43.0,43.0,97.826,1,20.9807467,105.796265,29.2
2026-09-10T08:16:58.724397+00:00,DU,106,1,0,20.98117,105.7969167,53.5,0.48,4,2.6,100,20.0,7,-39.0,10.0,-59.0,59.0,95.652,2,20.9807467,105.796265,
2026-09-10T08:17:02.626450+00:00,SU,210,1,1,20.9808933,105.7964967,-64.2,0.0,6,1.1,360,20.0,7,-23.0,9.0,-43.0,43.0,97.872,1,20.9807467,105.796265,29.06
2026-09-10T08:17:03.749737+00:00,DU,107,1,0,20.981175,105.7968967,53.9,0.42,4,2.6,130,20.0,7,-40.0,9.8,-60.0,60.0,95.745,2,20.9807467,105.796265,
2026-09-10T08:17:07.626288+00:00,SU,211,1,1,20.9808883,105.796495,-61.3,0.04,6,1.1,360,20.0,7,-23.0,10.0,-43.0,43.0,97.917,1,20.9807467,105.796265,29.06
2026-09-10T08:17:08.773400+00:00,DU,108,1,0,20.98116,105.7968467,54.5,1.1,4,2.6,150,20.0,7,-39.0,10.0,-59.0,59.0,95.833,2,20.9807467,105.796265,
2026-09-10T08:17:12.625813+00:00,SU,212,1,1,20.980885,105.7964967,-57.9,0.02,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,97.959,1,20.9807467,105.796265,28.75
2026-09-10T08:17:13.799205+00:00,DU,109,1,0,20.981135,105.79678,55.0,1.49,4,2.6,180,20.0,7,-39.0,10.0,-59.0,59.0,95.918,2,20.9807467,105.796265,
2026-09-10T08:17:17.625926+00:00,SU,213,1,1,20.9808833,105.7964967,-54.8,0.03,6,1.1,360,20.0,7,-23.0,9.0,-43.0,43.0,98.0,1,20.9807467,105.796265,28.55
2026-09-10T08:17:18.824019+00:00,DU,110,1,0,20.981125,105.79676,55.8,0.85,4,2.6,200,20.0,7,-40.0,9.8,-60.0,60.0,96.0,2,20.9807467,105.796265,
2026-09-10T08:17:22.626592+00:00,SU,214,1,1,20.9808833,105.7965017,-51.8,0.04,6,1.1,360,20.0,7,-23.0,9.8,-43.0,43.0,98.039,1,20.9807467,105.796265,28.45
2026-09-10T08:17:23.848512+00:00,DU,111,1,0,20.981125,105.7967683,56.2,0.22,4,2.6,230,20.0,7,-39.0,9.8,-59.0,59.0,96.078,2,20.9807467,105.796265,
